,EmpId,Age,DistanceFromHome,Education,EducationField,Gender,MaritalStatus,Attrition,Department_x,StandardHours_x,HourlyRate,MonthlyIncome,PercentSalaryHike,StockOptionLevel,BusinessTravel,Department_y,JobLevel,JobRole,JobSatisfaction,NumCompaniesWorked,PerformanceRating,StandardHours_y,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverTime,Age_group,Income_group
0,100001,41,1,2,Life Sciences,Female,Single,Yes,Sales,200,30.0,5993,11,0,Travel_Rarely,Sales,2,Sales Executive,4,8,3,200,8,0,1,6,4,0,5,Yes,35-44,4001-6000
1,100002,49,8,1,Life Sciences,Male,Married,No,Research & Development,200,26.0,5130,23,1,Travel_Frequently,Research & Development,2,Research Scientist,2,1,4,200,10,3,3,10,7,1,7,No,45-54,4001-6000
2,100003,37,2,2,Other,Male,Single,Yes,Research & Development,200,10.0,2090,15,0,Travel_Rarely,Research & Development,1,Laboratory Technician,3,6,3,200,7,3,3,0,0,0,0,Yes,35-44,2001-4000
3,100004,33,3,4,Life Sciences,Female,Married,No,Research & Development,200,15.0,2909,11,0,Travel_Frequently,Research & Development,1,Research Scientist,3,1,3,200,8,3,3,8,7,3,0,Yes,25-34,2001-4000
4,100005,27,2,1,Medical,Male,Married,No,Research & Development,200,17.0,3468,12,1,Travel_Rarely,Research & Development,1,Laboratory Technician,2,9,3,200,6,3,3,2,2,2,2,No,25-34,2001-4000
5,100006,32,2,2,Life Sciences,Male,Single,No,Research & Development,200,15.0,3068,13,0,Travel_Frequently,Research & Development,1,Laboratory Technician,4,0,3,200,8,2,2,7,7,3,6,No,25-34,2001-4000
6,100007,59,3,3,Medical,Female,Married,No,Research & Development,200,13.0,2670,20,3,Travel_Rarely,Research & Development,1,Laboratory Technician,1,4,4,200,12,3,2,1,0,0,0,Yes,55-60,2001-4000
7,100008,30,24,1,Life Sciences,Male,Divorced,No,Research & Development,200,13.0,2693,22,1,Travel_Rarely,Research & Development,1,Laboratory Technician,3,1,4,200,1,2,3,1,0,0,0,No,25-34,2001-4000
8,100009,38,23,3,Life Sciences,Male,Single,No,Research & Development,200,48.0,9526,21,0,Travel_Frequently,Research & Development,3,Manufacturing Director,3,0,4,200,10,2,3,9,7,1,8,No,35-44,8001-12000
9,100010,36,27,3,Medical,Male,Married,No,Research & Development,200,26.0,5237,13,2,Travel_Rarely,Research & Development,2,Healthcare Representative,3,6,3,200,17,3,2,7,7,7,7,No,35-44,4001-6000
